img_url,size,texture,color,img_name
https://www.kajariaceramics.com/storage/product/PW03167_b.jpg,30x45 cm,Ceramic Wall Tiles,Leatherite Beige Highlighter,tile_Kajaria_ceramic-wall-tiles1
https://www.kajariaceramics.com/storage/product/SPW00323_b.jpg,30x45 cm,Ceramic Wall Tiles,Marmol Decor,tile_Kajaria_ceramic-wall-tiles2
https://www.kajariaceramics.com/storage/product/PW03900_b.jpg,30x45 cm,Ceramic Wall Tiles,Angel Blanco,tile_Kajaria_ceramic-wall-tiles3
https://www.kajariaceramics.com/storage/product/PW03959_b.jpg,30x45 cm,Ceramic Wall Tiles,Nicolas Crema,tile_Kajaria_ceramic-wall-tiles4
https://www.kajariaceramics.com/storage/product/SPW01439_b.jpg,30x45 cm,Ceramic Wall Tiles,Hampton Dark,tile_Kajaria_ceramic-wall-tiles5
https://www.kajariaceramics.com/storage/product/PW01308_b.jpg,30x45 cm,Ceramic Wall Tiles,Jasper Marfil,tile_Kajaria_ceramic-wall-tiles6
https://www.kajariaceramics.com/storage/product/PW03212_b.jpg,30x45 cm,Ceramic Wall Tiles,Sheen Kitchen Highlighter,tile_Kajaria_ceramic-wall-tiles7
https://www.kajariaceramics.com/storage/product/PW02883_b.jpg,30x45 cm,Ceramic Wall Tiles,Serenity Marfil,tile_Kajaria_ceramic-wall-tiles8
https://www.kajariaceramics.com/storage/product/PW02868_b.jpg,30x45 cm,Ceramic Wall Tiles,Prism Blanco,tile_Kajaria_ceramic-wall-tiles9
https://www.kajariaceramics.com/storage/product/PW03082_b.jpg,30x45 cm,Ceramic Wall Tiles,Mahogany Crema,tile_Kajaria_ceramic-wall-tiles10
https://www.kajariaceramics.com/storage/product/PW03170_b.jpg,30x45 cm,Ceramic Wall Tiles,Leatherite Blue Highlighter,tile_Kajaria_ceramic-wall-tiles11
https://www.kajariaceramics.com/storage/product/SPW00371_b.jpg,30x45 cm,Ceramic Wall Tiles,Signo Pink Hl,tile_Kajaria_ceramic-wall-tiles12
https://www.kajariaceramics.com/storage/product/PW01435_b.jpg,30x45 cm,Ceramic Wall Tiles,Vigo Plaza,tile_Kajaria_ceramic-wall-tiles13
https://www.kajariaceramics.com/storage/product/SPW00266_b.jpg,30x45 cm,Ceramic Wall Tiles,Electra Beige,tile_Kajaria_ceramic-wall-tiles14
https://www.kajariaceramics.com/storage/product/PW01134_b.jpg,30x45 cm,Ceramic Wall Tiles,Polygon Blanco,tile_Kajaria_ceramic-wall-tiles15
https://www.kajariaceramics.com/storage/product/SPW01028_b.jpg,30x45 cm,Ceramic Wall Tiles,Liva Crema,tile_Kajaria_ceramic-wall-tiles16
https://www.kajariaceramics.com/storage/product/PW02840_b.jpg,30x45 cm,Ceramic Wall Tiles,Joy Blue Decor,tile_Kajaria_ceramic-wall-tiles17
https://www.kajariaceramics.com/storage/product/PW03945_b.jpg,30x45 cm,Ceramic Wall Tiles,Jet Black,tile_Kajaria_ceramic-wall-tiles18
https://www.kajariaceramics.com/storage/product/PW03129_b.jpg,30x45 cm,Ceramic Wall Tiles,Ganges Azul,tile_Kajaria_ceramic-wall-tiles19
https://www.kajariaceramics.com/storage/product/PW03913_b.jpg,30x45 cm,Ceramic Wall Tiles,Autumn Nero,tile_Kajaria_ceramic-wall-tiles20
https://www.kajariaceramics.com/storage/product/SPW00218_b.jpg,30x45 cm,Ceramic Wall Tiles,Atlantic Light,tile_Kajaria_ceramic-wall-tiles21
https://www.kajariaceramics.com/storage/product/PW02560_b.jpg,30x45 cm,Ceramic Wall Tiles,Rubix Brown,tile_Kajaria_ceramic-wall-tiles22
https://www.kajariaceramics.com/storage/product/PW03923_b.jpg,30x45 cm,Ceramic Wall Tiles,Checkered Highlighter,tile_Kajaria_ceramic-wall-tiles23
https://www.kajariaceramics.com/storage/product/PW02825_b.jpg,30x45 cm,Ceramic Wall Tiles,Clinker Natural,tile_Kajaria_ceramic-wall-tiles24
https://www.kajariaceramics.com/storage/product/PW02565_b.jpg,30x45 cm,Ceramic Wall Tiles,Vitrosa Naturale,tile_Kajaria_ceramic-wall-tiles25
https://www.kajariaceramics.com/storage/product/PW03758_b.jpg,30x45 cm,Ceramic Wall Tiles,Flavia Olive Highlighter,tile_Kajaria_ceramic-wall-tiles26
